country,2018
Afghanistan,29.7
Angola,36.2
Albania,59.8
UAE,27.6
Argentina,70.2
Armenia,47.9
Australia,90.9
Austria,82.9
Azerbaijan,26.5
Burundi,23.3
Belgium,77.8
Benin,57.4
Burkina Faso,47.5
Bangladesh,55.7
Bulgaria,70.3
Bahrain,27.1
Bosnia and Herzegovina,49.8
Belarus,31.3
Bolivia,57.0
Brazil,69.7
Bhutan,53.0
Botswana,78.1
Central African Republic,15.2
Canada,91.5
Switzerland,90.3
Chile,79.7
China,33.2
Cote d'Ivoire,41.5
Cameroon,32.8
"Congo, Dem. Rep.",14.9
"Congo, Rep.",33.1
Colombia,69.6
Comoros,37.1
Cape Verde,78.8
Costa Rica,80.7
Cuba,30.0
Cyprus,75.9
Czech Republic,76.9
Germany,86.8
Djibouti,28.7
Denmark,92.2
Dominican Republic,65.4
Algeria,35.0
Ecuador,62.7
Egypt,33.6
Eritrea,23.7
Spain,80.8
Estonia,79.7
Ethiopia,33.5
Finland,91.4
Fiji,58.5
France,78.0
Gabon,36.1
UK,85.3
Georgia,55.0
Ghana,66.3
Guinea,31.4
Gambia,43.1
Guinea-Bissau,19.8
Equatorial Guinea,19.2
Greece,72.9
Guatemala,56.0
Guyana,66.7
"Hong Kong, China",61.5
Honduras,56.3
Croatia,65.7
Haiti,49.1
Hungary,66.3
Indonesia,63.9
India,72.3
Ireland,91.5
Iran,24.5
Iraq,40.6
Iceland,95.8
Israel,77.9
Italy,77.1
Jamaica,70.2
Jordan,39.3
Japan,79.9
Kazakhstan,29.4
Kenya,51.1
Kyrgyz Republic,51.1
Cambodia,35.9
South Korea,80.0
Kuwait,38.5
Lao,23.7
Lebanon,46.3
Liberia,53.5
Libya,21.9
Sri Lanka,61.9
Lesotho,66.4
Lithuania,75.0
Luxembourg,88.1
Latvia,73.8
Morocco,49.9
Moldova,58.5
Madagascar,52.2
Mexico,61.9
North Macedonia,58.7
Mali,54.1
Malta,82.1
Myanmar,38.3
Montenegro,57.4
Mongolia,65.0
Mozambique,38.5
Mauritania,38.2
Mauritius,82.2
Malawi,54.9
Malaysia,68.8
Namibia,62.5
Niger,37.6
Nigeria,44.4
Nicaragua,36.3
Netherlands,88.9
Norway,98.7
Nepal,51.8
New Zealand,92.6
Oman,30.4
Pakistan,41.7
Panama,70.5
Peru,66.0
Philippines,67.1
Papua New Guinea,60.3
Poland,66.7
North Korea,10.8
Portugal,78.4
Paraguay,62.4
Palestine,43.9
Qatar,31.9
Romania,63.8
Russia,29.4
Rwanda,33.5
Saudi Arabia,19.3
Sudan,21.5
Senegal,61.5
Singapore,63.8
Sierra Leone,46.6
El Salvador,59.6
Serbia,64.1
Suriname,69.8
Slovak Republic,71.0
Slovenia,75.0
Sweden,93.9
Eswatini,30.3
Syria,14.3
Chad,16.1
Togo,31.0
Thailand,46.3
Tajikistan,19.3
Turkmenistan,17.2
Timor-Leste,71.9
Trinidad and Tobago,71.6
Tunisia,64.1
Turkey,43.7
Taiwan,77.3
Tanzania,54.1
Uganda,52.0
Ukraine,56.9
Uruguay,83.8
USA,79.6
Uzbekistan,20.1
Venezuela,31.6
Vietnam,30.8
Yemen,19.5
South Africa,72.4
Zambia,56.1
Zimbabwe,31.6
